원룸명,주소,호실,조건,연락처,옵션,1층현관
샛별마을,옥계동799-4,원룸 303,200/29,010-8893-8264,풀옵션,201#2806#
샛별마을,옥계동799-4,미투 305,200/35,010-8893-8264,풀옵션,201#2806#
산호,옥계동954-2,원룸 107,200/30,010-9778-7952010-3484-7952,풀옵션,1234
산호,옥계동954-2,투룸 102,500/50,010-9778-7952010-3484-7952,풀옵션,1234
산호,옥계동954-2,투룸 302,500/50,010-8842-0019(세)010-9778-7952(건),풀옵션,1234
산호빌(리모델링),옥계동741-8,원룸 304,500/40,010-2277-7283,풀옵션,종4964
샤인,옥계동631-4,쓰리룸 201,1000/50,010-2336-2445,풀옵션,
세운빌,옥계동749-5,원룸 302,200/27,010-3032-4659,풀옵션,2585#
세운주택,옥계동747-2,원룸 302,200/30,010-2868-3691,풀옵션,2468#
송림하우스,옥계동562-9,원룸 305,200/25,010-2471-0861,풀옵션,
시그니엘(리모델링),옥계동550-2,원룸 103(수수료40),2000/30,010-2702-6764(세),풀옵션,1600
시그니엘(리모델링),옥계동550-2,미투 203,6000/5LH가능,010-5870-6161,풀옵션,1600
시인과농부,옥계동566-11,원룸 301,100/25,010-2260-5953,풀옵션,
시크릿가든,옥계동620-2,미투 305,3800/5,010-8823-3228,풀옵션,6620
아트빌,옥계동799-2,원룸 306,200/30,010-4045-3361,풀옵션,201#5150#
아트파크,옥계동947,복층 504,4500/5,010-2051-5479(세),풀옵션,6278엘리베이터
에덴빌,옥계동554-3,원룸 203,100/28,010-5625-7055,풀옵션,
에덴빌,옥계동554-3,투룸 302,200/45,010-5625-7055,풀옵션,
예담하우스A,옥계동869-11,원룸 201,200/28,010-5336-9495,풀옵션,7233
예담하우스B,옥계동791-2,원룸 502 (수수료+∝),200/30,010-9165-4704(세),풀옵션,7233
예담하우스B,옥계동791-2,원룸 506,200/30,010-7743-6361(세),풀옵션,7233
예지원,옥계동627-7,투룸 201,3500/5,010-3936-4320,풀옵션,
오대양복어건물,옥계동630-6,원룸 302(大),2800/3,010-8698-7777,풀옵션,
웰빙하우스,옥계동801-7,"원룸 205,305",200/28,010-8451-7406,풀옵션,4056#
유정하이츠4차,옥계동614-6,투룸 202,300/55,010-8422-1032,풀옵션,
유정하이츠4차,옥계동614-6,"투룸 203,303",200/45,010-8422-1032,풀옵션,
이스탄불,옥계동888-4,미투 301,500/352000/20,010-9765-1634,풀옵션,8884
정은빌라트,옥계동748-8,투룸 501(반려동물금지),300/49,010-3360-5979,풀옵션,종1111
초록빌,옥계동628-1,"원룸 502,503",200/30.절충,010-8983-0376,풀옵션,6710#
프라임가람,옥계동962,미투 303,300/38,010-4782-3420,풀옵션,#4056#
프라임골드,옥계동887-7,미투 305,200/35,010-6616-4355,풀옵션,#4056#
프라임둥지,옥계동754-1,"미투 502,505",300/39,010-7164-1162,풀옵션,#1547#
프라임베일리,옥계동955,미투 305(반려동물금지),300/36,010-5464-2171,풀옵션,#4056#
프라임스카이,옥계동740-12,"미투 205,305(수수료+∝)",2000/20.전세,010-4108-7485,풀옵션,#0302#
프라임아이,옥계동791-1,"미투 202,503",300/40,010-3002-7700,풀옵션,#4056#
프라임아이,옥계동791-1,미투 301,500/38,010-4468-8779(부),풀옵션,#4056#
프라임아이,옥계동791-1,미투 502,4500/5,010-7560-6340(세),풀옵션,#4056#
프라임아이파크,옥계동801-3,미투 303(즉시가)반려동물금지,300/40,010-3188-1961,풀옵션,#4056#
프라임연정,옥계동882-5,쓰리룸 501,1000/70,010-2471-0861,풀옵션,#4056#
프라임엔젤,옥계동745-7,미투 502,300/38,010-9658-0239,풀옵션,
프라임예스,옥계동614-4,미투 503 (수수료+∝)반려동물금지,200/37,010-3548-0089,풀옵션,#1547#
프라임예스,옥계동614-4,미투 203 (수수료+∝)반려동물금지,200/38,010-5406-5459(세)010-7630-1884(부),풀옵션,#1547#
프라임울트라,옥계동952,미투 203,300/38,010-4042-3361(세)010-9388-3357(세),풀옵션,#4056#
프라임캐슬,옥계동740-8,미투 201,300/40,010-2471-0861,풀옵션,#1547#
프라임티파니,옥계동797-9,옥탑방,50/10,010-5537-9697,풀옵션,#4056#
프라임해인,옥계동953,"미투 206,505",300/402000/25,010-3852-0291,풀옵션,#1547#
필하우스,옥계동623-10,미투 203,200/38,010-5521-7284,풀옵션,#1547#
필하우스,옥계동623-10,투룸 301,500/50,010-2810-9860(세),풀옵션,#1547#
태영플러스,옥계동797-6,"미투 203,303",200/35.절충,010-6791-7117,풀옵션,0960
하늘채,옥계동802-8,원룸 402,200/35,010-9293-0203(부),풀옵션,5155
해마루빌,옥계동793-7,미투 502,300/35,010-9153-0351,풀옵션,#0641#
해마루빌,옥계동793-7,쓰리룸 501,500/70,010-9153-0351,풀옵션,#0641#
해오름,옥계동869-7,원룸 205(10월초),200/33,010-8525-9850,풀옵션,#6119#
해오름,옥계동869-7,미투 201,1000/30,010-8525-9850,풀옵션,#6119#
해피파크,옥계동748-1,투룸 203,500/55,010-8805-5758(부),풀옵션,키7647키
행복빌,옥계동741-2,원룸 202(세입자방),200/33,010-9357-0280,풀옵션,
행운속으로A,옥계동799-5,원룸 205,200/26,010-9209-5703,풀옵션,7995
행운속으로B(리모델링),옥계동800-6,투룸 405,7500/30,010-8269-0030,풀옵션,1234
화이트빌,옥계동802-4,원룸 302,200/25관리비10별도,010-7161-0300,풀옵션,#8024#
대림빌라트,옥계동566-4,원룸 205,200/25,010-2471-0861,풀옵션,
예가불루밍(준신축),옥계동568-2,원룸 201,2900/5,010-3371-0482,풀옵션전자렌지,종2016
예가불루밍(준신축),옥계동568-2,원룸 402,200/25관리비2만별도,010-3371-0482,풀옵션,종2016
성은B,옥계동948-1,원룸 302복층 406,200/30.반전세,010-2471-0861,풀옵션,
임정남선산곱창,옥계동623-3,쓰리룸 301(화장실2),1000/60,010-5395-1747,에어컨,
뉴그린빌,거의동614-7,원룸 305(침대),200/30,010-4871-8215,풀옵션,93988
럭키빌,거의동614-3,원룸 502,200/25,010-5430-6901,풀옵션,
비젼빌3,거의동612-2,원룸 301,200/30,010-3002-7700,풀옵션,201#0858#
비젼빌3,거의동612-2,원룸 501,200/28,010-3002-7700,풀옵션,201#0858#
비젼빌3,거의동612-2,"미투 303,503",200/33,010-3002-7700,풀옵션,201#0858#
비젼빌3,거의동612-2,투룸 302,5000/6,010-7977-0326(세),풀옵션,201#0858#
세영주택,거의동613-9,원룸 302,100/26,010-3779-8742,풀옵션,
신흥캐슬,거의동613-7,"원룸 202,205,303,503",200/27.전세,010-7589-9188,풀옵션,9085
유림4차,거의동614-11,"원룸 101,302,304",100/27,010-9394-3566,풀옵션,
프라임비발디B,거의동137-4,"미투 206,302",200/37,010-3002-7700,풀옵션,#4056#
프라임비발디C,거의동137-3,미투 206,200/37,010-3002-7700,풀옵션,#4056#
프라임비발디D,거의동137-5,"미투 203,302,303,306",200/37,010-7272-3383,풀옵션,#4056#
프라임비발디E,거의동137-6,원룸 303,200/30,010-4174-2325,풀옵션,#4056#
프라임비발디E,거의동137-6,"미투 107,301",200/374000/5,010-4174-2325,풀옵션,#4056#
프라임비발디E,거의동137-6,미투 205,1000/25,010-2878-4826(세),풀옵션,#4056#
프라임키트,거의동615-9,원룸 305,100/25,010-3002-7700,풀옵션,4119
프라임키트,거의동615-9,원룸 502,200/30,010-3002-7700,풀옵션,4119
노블리안B,거의동149-5,원룸 507,200/30,010-2781-0802,풀옵션,
노블리안B,거의동149-5,"미투 202,502(남향)",200/35,010-2781-0802,풀옵션,
예가리더스(건물주바뀜),거의동366-10,"원룸 201,202,205",200/25,010-8200-5798,풀옵션,7179엘리베이터
예가리더스(건물주바뀜),거의동366-10,미투 404,4000/5.월세,010-8200-5798,풀옵션,7179엘리베이터
만사형통A,구포동685-22,미투 201,200/35,010-9655-5406,풀옵션,키5406종
만사형통B,구포동685-21,원룸 205,200/28,010-5512-8985,풀옵션,키1622종
만사형통B,구포동685-21,"미투 203,206,505",300/38,010-5512-8985,풀옵션,키1622종
만사형통B,구포동685-21,투룸 503,500/45,010-5512-8985,풀옵션,키1622종
목련화빌,구포동686,원룸 305,200/28,010-8835-8484(부),풀옵션,키6905종
목련화빌,구포동686,"투룸 203,502,503",300/48,010-6235-3488,풀옵션,키6905종
목련화빌,구포동686,옥탑방 601,200/23,010-6235-3488,풀옵션,키6905종
성원빌,구포동685-19,투룸 506,500/505000/8,010-8498-7850,풀옵션,2007
청명빌,구포동685-4,원룸 302 (깨끗함),200/29,010-6835-8366,풀옵션,12345
청명빌,구포동685-4,원룸 503,200/28,010-6835-8366,풀옵션,12345
청명빌,구포동685-4,투룸 201,500/49,010-6835-8366,풀옵션,12345
해피데이A,구포동671-6,미투 205,500/30,010-9390-9369,풀옵션,종1470종
홍실빌,구포동685-6,원룸 202(10/16),200/30,010-8570-8829,풀옵션,종6905
갤럭시오피스텔,봉산리590,원룸 511(정남향),300/40,010-4504-9196,풀옵션,종0707
갤럭시2,봉산리590-5,투룸 302(욕실2),1000/65,010-4504-9196,풀옵션A/C*2대,종0707
남산오피스텔,봉산리384-9,"원룸 209,302",200/35,010-2471-0861,풀옵션,#2580#
노블레스오피스텔,봉산리613-2,투룸 306,500/65,010-3821-5310,풀옵션,6132
롯지오피스텔,봉산리386-9,"원룸 204,401",300/40,010-5344-8080,풀옵션,종1234
명품오피스텔,봉산리385-17,"원룸 202,402,404",200/40,010-5557-0918,풀옵션,종0918
비바체오피스텔A,봉산리387-15,미투 205,4500/5,010-9295-2935(세),풀옵션,#3366#
비바체오피스텔B,봉산리387-25,미투 201,3000/20,010-7440-8386(세),풀옵션,#3366#
비바체오피스텔B,봉산리387-25,미투 505,4500/5,010-2065-0686(세),풀옵션,#3366#
수오피스텔,봉산리383-8,원룸 401,200/40,010-8564-5539,풀옵션,#4321#
쉐르빌오피스텔,봉산리386-8,"원룸 203,302,403",300/40,010-3685-0730,풀옵션,0730엘리베이터/침대/책상/세계발행
아테나오피스텔,봉산리383-1,원룸 405,200/40,010-8588-7954010-2797-9588,풀옵션,종0707
아테나오피스텔,봉산리383-1,원룸 304,200/38,010-2525-5696(부),풀옵션,종0707
장미오피스첼,봉산리381-10,원룸 306,200/40,010-5557-0918,풀옵션,종0918
정안오피스텔,봉산리384,원룸 305,300/38,010-4506-7121,풀옵션,#2345#
제니스오피스텔,봉산리613,"원룸 201,301,501",200/38,053-586-3600,풀옵션,6130
제니스오피스텔,봉산리613,투룸 202,500/60,053-586-3600,풀옵션,6130
제니스오피스텔,봉산리613,원룸 308,300/40,010-4633-7387(세),풀옵션,6130
청아오피스텔,봉산리387-19,원룸 501,200/35,010-7755-8866,풀옵션,#1234*
태양오피스텔,봉산리383-10,원룸 205,300/30,010-5268-3270,풀옵션,#5678#
태양오피스텔,봉산리383-10,"미투 307,405",300/40,010-5268-3270,풀옵션,#5678#
프라임백합,봉산리584-2,"원룸 203,303",200/38,010-3199-2314(부),풀옵션,#4056#
프린스오피스텔,봉산리613-1,"원룸 206,305,505,506",200/38,053-586-3600,풀옵션,6131
프린스오피스텔,봉산리613-1,"미투 203,303",5000/10500/45,053-586-3600,풀옵션,6131
프린스오피스텔,봉산리613-1,원룸 205,200/38,010-3199-2314(부),풀옵션,6131
한빛오피스텔,봉산리387-18,원룸 308,3000/51500/15,010-9974-3115,풀옵션,#1234*
한빛오피스텔,봉산리387-18,원룸 301(10/15),1000/20,010-9974-3115,풀옵션,#1234*
한빛오피스텔,봉산리387-18,원룸 501,3000/52500/10,010-9974-3115,풀옵션,#1234*
한빛오피스텔,봉산리387-18,미투 306,3500/84000/3,010-9974-3115,풀옵션,#1234*
한아름오피스텔,봉산리387-2,원룸 501,200/35,010-2471-0861,풀옵션,#1234*
한아름오피스텔,봉산리387-2,미투 502,300/40,010-2471-0861,풀옵션,#1234*
해비치오피스텔,봉산리385-14,원룸 404,200/35,010-3002-7700,풀옵션,종0707
행복가득한오피스텔,봉산리386-3,"303,401",300/40,010-5557-0918,풀옵션,0918책상.의자/엘리베이터/세금계산서발행
산마을타운105동,봉산리458-10,원룸 103,100/25,010-4664-4525,풀옵션,#3651#
프라임밸리,적림리58-20,미투 307,300/43,010-8805-5758,풀옵션,4056
